depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p
5.00	6	10	8.12	1.93	4	10.00	5.50			10.76	2.01	5	12.49	7.57	12.48	8.14	6.66	0.30	5	7.10	6.31	7.02	6.34	8.00		1	8.00	8.00			10.34	2.00	4	12.43	7.63			6.55	0.21	4	6.73	6.31			7.91	0.52	4	8.47	7.21			0.14	0.08	4	0.26	0.09			0.05	0.01	4	0.05	0.04			0.12	0.02	4	0.14	0.10			0.16	0.02	4	0.20	0.14			0.08	0.06	4	0.17	0.05			6.90	0.48	4	7.30	6.20					0							0							0							0							0					21.45	2.04	4	24.30	19.70			0.65	0.10	4	0.74	0.54		
5.00	7	10	5.92	1.46	6	8.50	4.00	7.88	4.38	20.35	1.34	4	22.22	19.18			6.09	0.18	4	6.25	5.90					0					20.55	1.13	4	22.17	19.59			6.52	0.64	6	7.37	5.90	7.35	5.93	6.18		1	6.18	6.18			0.10	0.07	6	0.23	0.05	0.20	0.05	0.03	0.01	4	0.04	0.03			0.18		1	0.18	0.18			0.17	0.08	6	0.27	0.10	0.27	0.10	0.13	0.09	6	0.26	0.05	0.25	0.05	7.70	2.02	4	10.70	6.50					0							0							0							0							0					23.44	1.76	6	26.00	21.40	25.57	21.43	0.67	0.12	6	0.80	0.55	0.80	0.56
5.00	8	10	5.75	0.88	6	7.00	4.50	6.75	4.62	16.48	2.59	3	18.73	13.65			6.42	0.20	3	6.60	6.20					0					15.08	3.51	4	18.72	10.86			6.67	0.30	6	6.96	6.19	6.94	6.26	6.60	0.56	4	7.14	6.00			0.12	0.08	6	0.25	0.03	0.23	0.04	0.03	0.02	4	0.06	0.02			0.13		1	0.13	0.13			0.10	0.05	6	0.19	0.03	0.17	0.04	0.12	0.05	6	0.17	0.05	0.17	0.06	9.18	0.75	4	10.10	8.30					0							0							0							0							0					23.80	2.12	6	27.00	21.00	26.57	21.43	0.68	0.14	6	0.91	0.50	0.87	0.53
5.00	12	10	5.25	1.06	2	6.00	4.50	5.92	4.58	0.09	0.05	2	0.12	0.05	0.12	0.05	6.92	0.03	2	6.95	6.91	6.94	6.91			0					0.03	0.04	2	0.06	0.00	0.06	0.00	7.04	0.03	2	7.07	7.02	7.06	7.03	9.21	0.04	2	9.24	9.19	9.24	9.19	0.56	0.00	2	0.56	0.56	0.56	0.56	0.33	0.04	2	0.36	0.30	0.36	0.30	2.38	0.57	2	2.79	1.98	2.75	2.02	2.71	0.61	2	3.15	2.28	3.10	2.32	1.14	0.04	2	1.17	1.11	1.17	1.11	12.93	0.11	2	13.00	12.85	12.99	12.86			0							0							0							0							0					22.82	1.31	2	23.75	21.90	23.66	21.99	0.89	0.04	2	0.92	0.85	0.91	0.86
10.00	4	10			0					4.48	1.15	2	5.29	3.67	5.21	3.75	7.25	0.23	2	7.41	7.08	7.39	7.10	9.50		1	9.50	9.50					0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
10.00	5	10			0					8.05		1	8.05	8.05	8.05	8.05	7.39		1	7.39	7.39	7.39	7.39	8.30		1	8.30	8.30	8.30	8.30			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
10.00	6	10	9.00	1.00	3	10.00	8.00			9.60	3.21	4	12.25	4.93	12.04	5.75	6.77	0.27	4	7.11	6.46	7.06	6.50	7.90		1	7.90	7.90			7.87	4.21	2	10.85	4.89			6.77	0.04	2	6.80	6.74			8.23	0.49	2	8.58	7.88			0.26	0.21	2	0.41	0.11			0.04	0.01	2	0.05	0.04			0.13	0.04	2	0.16	0.10			0.17	0.04	2	0.20	0.15			0.05	0.00	2	0.05	0.05			8.05	1.77	2	9.30	6.80					0							0							0							0							0					19.85	1.63	2	21.00	18.70			0.69	0.13	2	0.78	0.60		
10.00	7	10	5.38	0.95	4	6.00	4.00	6.00	4.22	17.57	2.52	3	20.28	15.31			6.25	0.20	3	6.45	6.05					0					17.66	3.71	2	20.28	15.04			6.70	0.61	3	7.40	6.26			7.14	0.40	2	7.43	6.86			0.06	0.01	3	0.07	0.06			0.03	0.00	2	0.03	0.03					0					0.07	0.05	3	0.10	0.01			0.10	0.03	3	0.13	0.07			6.65	0.21	2	6.80	6.50					0							0							0							0							0					24.70	2.02	3	27.00	23.20			0.69	0.18	3	0.90	0.58		
10.00	8	10	5.90	0.89	5	7.00	4.50	6.80	4.80	15.68	2.92	3	18.73	12.91			6.45	0.18	3	6.61	6.25					0					14.39	4.88	3	18.71	9.09			6.71	0.36	4	7.10	6.26			6.05	0.89	3	6.96	5.19			0.21	0.12	4	0.29	0.03			0.05	0.01	3	0.06	0.04			0.21	0.14	3	0.37	0.10			0.19	0.17	4	0.42	0.03			0.19	0.10	4	0.33	0.12			12.17	4.84	3	17.70	8.70					0							0							0							0							0					23.20	1.60	4	25.00	21.30			0.74	0.11	4	0.84	0.60		
15.00	4	10			0					4.49	1.15	2	5.30	3.67	5.22	3.75	7.25	0.23	2	7.41	7.08	7.39	7.10	9.50		1	9.50	9.50					0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
15.00	5	10			0					8.02		1	8.02	8.02	8.02	8.02	7.40		1	7.40	7.40	7.40	7.40	8.25		1	8.25	8.25	8.25	8.25			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
15.00	6	10	8.00		1	8.00	8.00			10.85	1.12	2	11.64	10.06	11.56	10.14	6.79	0.45	2	7.11	6.48	7.08	6.51	7.60		1	7.60	7.60					0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
15.00	7	10	6.00		1	6.00	6.00	6.00	6.00	14.82		1	14.82	14.82	14.82	14.82	6.25		1	6.25	6.25	6.25	6.25			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
15.00	8	10	7.00		1	7.00	7.00	7.00	7.00	12.49		1	12.49	12.49	12.49	12.49	6.55		1	6.55	6.55	6.55	6.55			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
20.00	4	10			0					5.31		1	5.31	5.31	5.31	5.31	7.42		1	7.42	7.42	7.42	7.42			0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0							0				
20.00	6	10	8.00		1	8.00	8.00			10.28	0.82	2	10.86	9.70	10.80	9.76	6.82	0.46	2	7.14	6.49	7.11	6.52	7.40		1	7.40	7.40					0					6.48		1	6.48	6.48			8.09		1	8.09	8.09			0.11		1	0.11	0.11			0.04		1	0.04	0.04			0.13		1	0.13	0.13			0.17		1	0.17	0.17			0.05		1	0.05	0.05			7.40		1	7.40	7.40					0							0							0							0							0					21.10		1	21.10	21.10			0.62		1	0.62	0.62		
20.00	7	10	7.25	1.77	2	8.50	6.00	8.38	6.12	12.88		1	12.88	12.88			6.29		1	6.29	6.29					0					13.00		1	13.00	13.00			6.81	0.74	2	7.34	6.29	7.29	6.34	6.78		1	6.78	6.78			0.38	0.46	2	0.70	0.05	0.67	0.08	0.02		1	0.02	0.02					0					0.43	0.47	2	0.77	0.10	0.74	0.13	0.47	0.46	2	0.80	0.15	0.77	0.18	8.10		1	8.10	8.10					0							0							0							0							0					21.60	0.57	2	22.00	21.20	21.96	21.24	0.87	0.33	2	1.10	0.64	1.08	0.66
20.00	8	10	6.00	1.41	2	7.00	5.00	6.90	5.10	10.69		1	10.69	10.69			6.83		1	6.83	6.83					0					10.12		1	10.12	10.12			6.88	0.04	2	6.91	6.85	6.91	6.85	6.66		1	6.66	6.66			0.20	0.09	2	0.27	0.14	0.26	0.15	0.07		1	0.07	0.07			0.53		1	0.53	0.53			0.41	0.27	2	0.60	0.22	0.58	0.24	0.51	0.16	2	0.62	0.39	0.61	0.40	10.10		1	10.10	10.10					0							0							0							0							0					23.65	0.49	2	24.00	23.30	23.96	23.34	0.62	0.17	2	0.74	0.50	0.73	0.51
