depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p
0.00	11	14	8.95	2.74	28	13.70	3.20			6.88	1.32	25	9.72	4.61			6.50	0.22	24	6.95	6.12			7.77	0.62	7	9.12	7.31			5.63	0.72	6	6.80	4.70			6.70	0.22	9	7.00	6.30			8.33	0.23	2	8.49	8.17			0.53	0.10	30	0.76	0.38	0.68	0.40	0.32	0.07	6	0.39	0.23			3.07	0.60	6	4.12	2.42			1.87	0.84	25	3.20	0.33			0.63	0.39	29	1.42	0.06			15.48	2.27	26	19.90	10.70			1.70	1.33	29	6.83	0.46					0							0					7.65	0.05	2	7.68	7.61			1.57	0.04	3	1.60	1.53		
0.00	12	14	7.64	2.53	27	13.50	3.50			4.31	1.21	24	7.38	2.27			6.59	0.31	24	7.27	5.88			8.59	0.84	7	10.13	7.41			4.01	0.52	5	4.40	3.30			6.69	0.25	7	7.08	6.40			8.95		1	8.95	8.95			0.70	0.15	29	1.10	0.46	0.97	0.50	0.36	0.09	5	0.45	0.22			4.37	0.22	5	4.67	4.09			3.84	1.06	24	6.76	2.05			0.27	0.33	29	1.18	0.04	0.94	0.04	17.75	3.04	25	23.99	11.10			0.70	0.35	29	2.23	0.37	1.24	0.42			0							0					7.89	0.03	2	7.91	7.87			1.60	0.05	3	1.64	1.55		
5.00	1	14	7.81	2.45	26	13.50	3.50			1.82	1.17	22	4.04	-0.09			6.73	0.34	21	7.23	6.13			8.86	0.33	5	9.12	8.29			1.77	0.95	5	3.00	0.70			7.02	0.29	7	7.37	6.50			9.49	0.70	2	9.99	9.00			0.86	0.21	27	1.36	0.61	1.14	0.63	0.10	0.02	6	0.15	0.09			6.32	0.91	6	7.51	5.04			5.14	0.84	22	7.13	3.80			0.08	0.05	26	0.24	0.00			19.52	3.12	23	24.70	15.60			0.50	0.33	27	1.72	0.20	1.19	0.25			0							0					7.55		1	7.55	7.55			1.61	0.02	3	1.63	1.60		
5.00	2	14	9.25	3.34	28	14.50	3.00			1.04	0.98	23	3.36	-0.23			6.68	0.26	23	7.24	6.09			9.43	0.79	5	10.71	8.54			0.97	1.06	6	2.07	-0.30			6.86	0.35	8	7.34	6.37			9.88	0.60	4	10.29	8.99			0.82	0.17	29	1.24	0.55	1.07	0.58	0.15	0.03	7	0.19	0.11			6.29	1.22	7	7.57	4.44			5.35	0.74	24	6.88	4.23			0.10	0.06	29	0.32	0.04	0.21	0.04	19.02	3.18	25	24.85	12.40			0.66	0.53	28	3.04	0.30					0							0					7.82	0.03	2	7.84	7.79			1.61	0.02	3	1.63	1.59		
5.00	3	14	9.81	2.16	29	15.75	5.80			1.32	1.01	25	3.60	-0.11			6.58	0.31	25	7.19	6.03			9.74	0.58	7	10.66	9.01			1.49	1.06	6	2.53	0.07			6.82	0.26	10	7.22	6.44			9.88	0.62	4	10.72	9.22			0.62	0.14	30	0.82	0.24	0.81	0.40	0.20	0.12	7	0.36	0.01			4.09	1.20	7	6.00	2.44			3.63	1.19	25	5.41	1.23			0.10	0.05	30	0.24	0.04	0.20	0.05	17.49	2.60	26	22.21	13.50			2.28	1.18	29	5.00	0.58					0							0					8.02	0.06	2	8.06	7.98			1.58	0.05	3	1.63	1.53		
5.00	4	14	7.76	1.68	29	12.07	5.25	11.60	5.87	3.12	1.01	24	5.24	1.46			6.42	0.25	24	7.01	5.97			9.70	0.52	7	10.68	9.10			2.73	1.03	5	3.33	0.90			6.52	0.34	8	7.03	5.95			10.64	0.81	3	11.43	9.80			0.27	0.11	29	0.41	0.08	0.41	0.10	0.07	0.05	6	0.14	0.02			0.85	1.09	6	2.96	0.03			0.21	0.27	24	0.83	0.02			0.08	0.03	29	0.15	0.04	0.14	0.05	9.95	3.02	25	16.25	5.70			3.88	1.33	29	7.50	1.68	5.85	1.90			0							0					8.25	0.05	2	8.29	8.21			1.58	0.06	3	1.64	1.53		
5.00	5	14	8.64	1.42	28	11.00	4.65			7.56	1.06	24	9.79	4.92			6.22	0.20	24	6.66	5.83			8.70	0.20	7	8.99	8.41			6.73	1.56	5	9.02	4.95			6.49	0.20	6	6.75	6.26			9.27	0.81	3	10.17	8.61			0.12	0.09	29	0.34	0.02	0.27	0.03	0.01	0.01	6	0.02	0.01			0.04	0.02	6	0.07	0.02			0.02	0.01	24	0.06	0.01			0.09	0.07	29	0.42	0.03	0.15	0.04	7.38	3.58	25	15.12	2.40			1.94	0.63	29	3.63	0.88	2.89	1.21			0							0					8.23	0.22	2	8.39	8.08			1.54	0.04	3	1.58	1.51		
5.00	6	14	6.88	1.44	29	9.75	3.95	9.09	4.52	12.58	1.36	24	15.55	9.94			6.11	0.22	24	6.49	5.74			7.46	0.66	7	8.15	6.42			12.83	2.16	5	16.00	10.50			6.34	0.12	6	6.57	6.24			7.90	0.29	3	8.20	7.62			0.09	0.07	29	0.34	0.03	0.19	0.03	0.01	0.00	6	0.01	0.01			0.05	0.01	5	0.07	0.03			0.03	0.03	24	0.14	0.01			0.10	0.08	29	0.40	0.04	0.29	0.05	7.78	2.84	25	13.91	3.95			2.23	1.03	29	5.98	0.61	3.42	1.08			0							0					8.25	0.25	2	8.43	8.08			1.51	0.03	3	1.53	1.48		
5.00	7	14	5.88	1.10	29	9.15	4.15	7.39	4.34	16.36	1.47	24	18.91	13.24			6.04	0.19	24	6.55	5.76			7.06	0.29	7	7.45	6.62			14.81	1.25	5	16.27	12.97			6.22	0.26	8	6.60	5.88			7.13	0.13	3	7.25	7.00			0.09	0.06	29	0.24	0.02	0.23	0.02	0.02	0.01	6	0.04	0.01			0.04	0.03	6	0.08	0.02			0.03	0.03	24	0.14	0.01			0.14	0.22	29	1.15	0.04	0.40	0.04	9.01	2.69	25	14.49	5.45			3.12	1.05	29	5.91	1.71	5.01	1.90			0							0					8.13	0.07	2	8.18	8.09			1.52	0.03	3	1.55	1.49		
5.00	8	14	5.88	1.00	29	8.75	4.15	7.20	4.37	17.14	1.95	24	21.71	13.53			6.06	0.19	24	6.54	5.70			6.48	0.45	7	7.02	5.76			17.28	3.08	5	20.08	13.32			6.24	0.24	9	6.60	5.90			6.76	0.28	3	7.08	6.57			0.10	0.07	29	0.27	0.02	0.25	0.02	0.02	0.02	6	0.05	0.01			0.29	0.37	5	0.89	0.03			0.04	0.05	24	0.24	0.01			0.18	0.24	29	0.99	0.04	0.72	0.05	10.26	3.12	25	17.20	5.80			3.06	0.83	29	4.67	1.41	4.55	1.88			0							0					7.98	0.16	2	8.09	7.87			1.53	0.04	3	1.56	1.49		
5.00	9	14	7.46	0.95	29	8.85	5.75	8.75	5.92	13.27	2.08	25	16.69	8.52			6.26	0.30	25	6.82	5.80			6.81	0.43	7	7.31	6.36			12.74	0.91	3	13.61	11.80			6.34	0.21	6	6.58	6.10			6.95	0.31	3	7.20	6.60			0.23	0.13	29	0.54	0.07	0.44	0.08	0.04	0.04	5	0.09	0.01			0.38	0.33	5	0.88	0.07			0.28	0.32	24	1.33	0.02			0.31	0.36	29	1.50	0.04	1.03	0.04	12.59	3.05	25	17.30	7.00			2.53	0.87	29	4.85	0.78	3.94	1.69			0							0					8.10		1	8.10	8.10			1.59	0.03	3	1.61	1.55		
5.00	10	14	8.65	1.45	29	11.30	5.25			9.87	1.93	26	12.92	6.39			6.39	0.34	26	7.10	5.55			7.07	0.26	8	7.49	6.74			9.84	1.52	5	11.30	7.37			6.43	0.38	7	6.99	5.85			7.67	0.43	3	8.15	7.33			0.36	0.14	29	0.70	0.10			0.16	0.04	5	0.23	0.13			1.51	1.30	5	3.44	0.19			0.61	0.54	24	2.20	0.03			0.42	0.47	28	1.95	0.04			13.65	2.78	25	19.51	7.40			2.06	0.74	29	3.77	0.99					0							0					7.71	0.13	2	7.80	7.61			1.59	0.05	3	1.65	1.56		
5.00	11	14	8.95	2.74	28	13.70	3.20			6.82	1.33	26	9.73	4.60			6.52	0.23	24	7.03	6.12			7.56	0.51	7	8.67	7.10			5.73	0.78	5	6.80	4.66			6.69	0.22	8	7.02	6.32			8.21	0.40	2	8.49	7.93			0.54	0.10	30	0.77	0.39	0.71	0.40	0.33	0.08	6	0.41	0.23			3.09	0.54	6	4.07	2.61			1.88	0.84	25	3.26	0.33			0.62	0.39	29	1.47	0.05			15.51	2.30	26	19.90	10.70			1.39	0.72	29	3.29	0.57					0							0					7.69	0.03	2	7.71	7.67			1.58	0.03	3	1.61	1.54		
5.00	12	14	7.64	2.53	27	13.50	3.50			4.30	1.19	25	7.39	2.13			6.66	0.33	25	7.28	5.89			8.20	0.81	7	9.55	6.88			3.92	0.56	4	4.43	3.30			6.69	0.26	6	7.08	6.40			8.70	0.13	2	8.79	8.60			0.70	0.15	29	1.09	0.46	0.98	0.50	0.34	0.09	5	0.44	0.21			4.33	0.22	5	4.61	4.00			3.84	1.06	24	6.74	2.01			0.28	0.32	29	1.21	0.01	0.90	0.04	17.78	3.07	25	24.02	11.00			0.67	0.46	29	2.95	0.33	0.95	0.42			0							0					7.92	0.04	2	7.95	7.89			1.60	0.05	3	1.64	1.55		
10.00	1	14	7.81	2.45	26	13.50	3.50			1.92	1.19	22	4.05	-0.10			6.75	0.34	21	7.23	6.14			8.79	0.32	5	9.10	8.28			1.76	0.97	5	3.00	0.60			6.98	0.39	6	7.41	6.49			9.41	0.68	2	9.89	8.93			0.87	0.22	27	1.42	0.61	1.14	0.62	0.10	0.03	6	0.14	0.06			6.33	0.91	6	7.55	5.08			5.07	0.80	22	7.18	3.73			0.07	0.04	27	0.18	0.00	0.16	0.01	19.39	3.11	23	24.74	15.60			0.48	0.27	27	1.63	0.20	0.85	0.26			0							0					7.58		1	7.58	7.58			1.62	0.02	2	1.63	1.60		
10.00	2	14	9.27	3.35	28	14.50	3.00			1.10	0.97	23	3.37	-0.24			6.70	0.26	23	7.24	6.09			9.42	0.80	5	10.72	8.53			0.97	1.06	6	2.10	-0.30			6.79	0.34	8	7.34	6.42			9.87	0.58	4	10.27	9.01			0.82	0.17	29	1.24	0.55	1.08	0.60	0.15	0.03	7	0.19	0.10			6.36	1.14	7	7.56	4.46			5.27	0.72	24	6.91	4.16			0.08	0.04	29	0.24	0.04	0.15	0.04	18.92	3.15	25	25.00	12.50			0.56	0.27	28	1.67	0.25					0							0					7.80	0.04	2	7.83	7.78			1.61	0.02	3	1.63	1.59		
10.00	3	14	9.81	2.16	29	15.75	5.80			1.33	1.01	25	3.62	-0.03			6.60	0.31	25	7.20	6.04			9.71	0.57	7	10.57	8.98			1.49	1.06	6	2.53	0.03			6.76	0.29	9	7.22	6.37			9.83	0.67	4	10.69	9.06			0.62	0.13	30	0.82	0.39	0.82	0.42	0.20	0.12	7	0.34	0.01			4.19	1.16	7	6.05	2.77			3.63	1.15	25	5.29	1.14			0.10	0.06	30	0.34	0.04	0.18	0.05	17.42	2.59	26	22.24	13.45			2.21	1.25	29	5.07	0.63					0							0					8.00	0.09	2	8.06	7.94			1.58	0.05	3	1.63	1.53		
10.00	4	14	7.76	1.68	29	12.07	5.25	11.60	5.87	3.06	0.98	24	5.08	1.52			6.43	0.26	24	7.04	5.98			9.68	0.52	7	10.67	9.10			2.65	1.03	5	3.32	0.83			6.43	0.30	7	6.81	5.95			10.55	0.85	3	11.46	9.77			0.28	0.11	29	0.42	0.07	0.42	0.10	0.07	0.05	6	0.14	0.02			1.03	1.09	6	3.06	0.04			0.22	0.27	24	0.83	0.01			0.08	0.03	29	0.17	0.04	0.12	0.05	10.06	2.96	25	16.27	5.70			3.68	1.14	29	6.40	1.68	5.36	2.02			0							0					8.23	0.04	2	8.26	8.21			1.58	0.06	3	1.64	1.53		
10.00	5	14	8.64	1.42	28	11.00	4.65			7.11	0.95	24	8.99	4.92			6.22	0.20	24	6.67	5.84			8.78	0.28	7	9.11	8.39			6.50	1.44	5	8.57	4.80			6.47	0.26	6	6.78	6.12			9.27	0.76	3	10.07	8.57			0.13	0.09	29	0.34	0.02	0.28	0.02	0.01	0.00	6	0.01	0.01			0.04	0.01	6	0.06	0.03			0.02	0.01	24	0.04	0.01			0.08	0.05	29	0.24	0.03	0.17	0.04	7.44	3.61	25	15.06	2.35			1.89	0.52	29	3.04	1.18	2.78	1.23			0							0					8.22	0.21	2	8.37	8.07			1.54	0.04	3	1.58	1.51		
10.00	6	14	6.88	1.44	29	9.75	3.95	9.09	4.52	11.38	1.32	24	14.23	8.86			6.11	0.21	24	6.50	5.75			7.47	0.54	7	7.95	6.55			11.90	2.21	5	15.23	9.30			6.30	0.19	5	6.57	6.04			7.93	0.24	3	8.07	7.66			0.11	0.07	29	0.39	0.04	0.22	0.04	0.01	0.00	6	0.01	0.01			0.07	0.03	5	0.12	0.03			0.05	0.10	24	0.53	0.01			0.13	0.15	29	0.77	0.04	0.34	0.04	8.14	3.00	25	13.84	4.00			2.29	0.98	29	5.05	0.90	4.25	0.95			0							0					8.24	0.22	2	8.40	8.08			1.51	0.02	3	1.53	1.49		
10.00	7	14	5.88	1.10	29	9.15	4.15	7.39	4.34	13.60	2.08	24	18.01	10.13			6.09	0.21	24	6.71	5.75			6.76	0.31	7	7.18	6.39			13.95	1.69	5	15.15	11.03			6.16	0.26	7	6.60	5.81			6.96	0.21	3	7.11	6.72			0.11	0.07	29	0.27	0.03	0.25	0.04	0.02	0.01	6	0.05	0.01			0.05	0.01	6	0.07	0.03			0.08	0.17	24	0.88	0.01			0.15	0.25	29	1.25	0.03	0.52	0.04	9.68	2.87	25	16.50	5.65			2.33	0.71	29	3.73	1.00	3.43	1.31			0							0					8.13	0.06	2	8.17	8.09			1.53	0.05	3	1.58	1.49		
10.00	8	14	5.88	1.00	29	8.75	4.15	7.20	4.37	15.40	2.73	24	20.68	10.26			6.12	0.21	24	6.54	5.77			5.90	0.73	7	6.72	4.70			16.78	2.96	5	19.53	13.17			6.21	0.27	8	6.60	5.86			6.50	0.25	3	6.79	6.34			0.15	0.11	29	0.45	0.03	0.35	0.04	0.03	0.02	6	0.05	0.01			0.23	0.30	6	0.76	0.02			0.17	0.27	24	0.99	0.01			0.30	0.46	29	2.06	0.04	1.24	0.04	10.98	3.45	25	18.99	5.75			2.23	0.88	29	4.46	0.71	3.46	1.12			0							0					7.99	0.12	2	8.07	7.90			1.55	0.03	3	1.57	1.52		
10.00	9	14	7.46	0.95	29	8.85	5.75	8.75	5.92	12.67	2.50	25	16.69	7.45			6.30	0.33	25	6.84	5.81			6.73	0.37	7	7.26	6.38			12.51	0.94	3	13.58	11.80			6.27	0.23	4	6.60	6.11			6.86	0.25	3	7.08	6.58			0.26	0.15	29	0.57	0.07	0.51	0.08	0.05	0.02	5	0.07	0.02			0.44	0.26	5	0.82	0.09			0.42	0.57	24	2.39	0.02			0.33	0.36	29	1.46	0.04	1.02	0.05	12.80	3.10	25	17.95	7.05			2.27	1.03	29	5.33	0.75	4.01	1.07			0							0					8.06		1	8.06	8.06			1.59	0.02	3	1.61	1.57		
10.00	10	14	8.65	1.45	29	11.30	5.25			9.67	1.99	26	12.53	6.38			6.43	0.35	26	7.13	5.55			7.06	0.25	8	7.33	6.74			9.80	1.53	5	11.30	7.35			6.40	0.46	5	7.00	5.85			7.65	0.45	3	8.15	7.29			0.37	0.14	29	0.71	0.08			0.17	0.04	5	0.23	0.13			1.79	1.22	5	3.44	0.19			0.67	0.56	24	2.22	0.03			0.44	0.45	28	1.91	0.04			13.79	2.65	25	19.25	7.30			1.81	0.71	29	3.43	0.88					0							0					7.72	0.13	2	7.81	7.63			1.60	0.05	3	1.65	1.56		
10.00	11	14	8.95	2.74	28	13.70	3.20			6.81	1.34	26	9.73	4.59			6.57	0.24	25	7.04	6.13			7.55	0.52	7	8.67	7.06			5.70	0.73	5	6.65	4.66			6.76	0.18	6	7.00	6.55			8.21	0.40	2	8.49	7.93			0.55	0.11	30	0.77	0.38	0.72	0.40	0.33	0.08	6	0.44	0.23			3.13	0.52	6	4.08	2.65			1.93	0.90	25	3.75	0.33			0.61	0.38	29	1.42	0.06			15.63	2.18	26	20.30	11.00			1.19	0.61	29	3.20	0.43					0							0					7.71	0.03	2	7.72	7.69			1.58	0.03	3	1.61	1.54		
10.00	12	14	7.64	2.53	27	13.50	3.50			4.34	1.17	25	7.39	2.14			6.67	0.33	25	7.28	5.89			8.18	0.82	7	9.53	6.83			3.95	0.52	4	4.40	3.30			6.61	0.20	5	6.94	6.40			8.63	0.20	2	8.78	8.49			0.70	0.15	29	1.10	0.47	0.99	0.51	0.34	0.10	5	0.45	0.19			4.33	0.20	5	4.57	4.04			3.83	1.06	24	6.76	2.01			0.27	0.32	29	1.18	0.01	0.87	0.04	17.75	3.08	25	23.96	11.10			0.65	0.46	29	2.98	0.34	0.85	0.43			0							0					7.90	0.05	2	7.94	7.87			1.60	0.05	3	1.64	1.55		
